Date,Antioquia,Atlantico,Bogota,Bolivar,Boyaca,Caldas,Caqueta,Cauca,Cesar,Cordoba,Cundinamarca,Choco,Huila,LaGuajira,Magdalena,Meta,Narino,NorteDeSantander,Quindio,Risaralda,Santander,Sucre,Tolima,ValleDelCauca,Total
17-Jan,15610,30346,30772,20075,469,1795,191,723,10698,3287,3416,169,155,20198,10996,1797,212,34953,1918,1393,8747,7924,1863,7387,215094
17-Feb,15649,31360,33120,19118,1349,1865,198,1040,10680,3321,3416,305,155,22653,11806,2204,190,38519,1775,1704,8861,9312,2080,7236,227917
17-Mar,16646,31351,32174,19132,1545,857,199,1040,11952,3404,4195,310,182,22960,13401,2233,190,39703,1799,1651,9198,10191,2136,8688,235138
17-Apr,18379,34771,34894,19794,1614,845,199,1382,11770,3431,5925,315,205,25431,13352,2215,190,41921,1761,2129,10978,12812,2026,8857,255197
17-May,19151,36348,42516,21480,1623,975,199,1382,11375,3539,5625,323,190,27269,13807,2729,203,42915,1659,2073,11431,13174,2126,9688,141189
17-Jun,19507,37050,44973,22426,1693,990,199,1360,11339,3542,6883,380,291,28922,14643,2714,232,44333,1932,2313,12150,14503,2146,10843,285361
17-Jul,21495,40559,48356,27757,1699,1453,203,1349,12900,3393,9947,344,361,29546,13249,2727,232,46329,1798,2506,12925,15456,2334,10804,307723
17-Aug,23218,44225,48697,28015,1736,1496,245,1670,15553,3502,9953,357,430,34519,16283,2779,232,48900,2035,2540,14333,15412,2393,13031,331555
17-Sep,27429,48438,52968,28632,1794,1667,245,1659,16302,3285,9953,637,439,34319,16767,2562,221,51785,2491,2515,14650,15550,2328,12787,349424
17-Oct,27441,50710,58414,28919,1888,1616,238,1545,16696,2709,12190,637,475,35703,17838,3007,211,53670,2768,3330,16170,15347,2190,14367,368077
17-Nov,28490,53506,64671,31881,1634,1679,244,1280,18013,4251,10506,654,475,34512,19672,3118,120,54643,2844,3964,17149,15511,2341,13705,384864
17-Dec,27044,53326,71409,34288,1707,1605,136,1272,18678,4834,10968,743,470,38623,20497,3792,98,59459,2909,4362,18582,16353,2068,14858,408081
18-Jan,29967,53947,77125,36069,1685,1570,88,1251,20830,7187,10676,752,515,40503,21303,3542,128,63387,3355,5741,21042,16503,2210,17847,437222
18-Feb,36157,62131,81087,37750,1138,1615,82,1578,21586,7652,13786,613,1270,45081,25647,3224,161,67282,4406,6557,23396,18802,1999,19088,482087
18-Mar,40763,68061,110215,42889,1039,1798,80,1588,24729,8350,17336,596,1246,46385,28026,3530,238,71723,5442,7024,28342,18837,2223,23045,553504
18-Apr,43334,70233,122006,44814,2010,1788,80,1451,30544,8626,19139,607,1368,47010,30301,3944,304,74477,6093,6906,33598,17492,2334,23612,592070
18-May,48289,74919,128331,47497,2028,1817,87,1553,33606,9490,21916,599,1473,52410,31796,3445,392,81047,6594,7585,35470,17580,2402,25123,635447
18-Jun,55685,82142,143039,50570,2022,2128,467,1564,35525,10047,28329,538,1617,53591,33059,3649,755,86751,6058,8846,41133,17849,2650,28272,696285
18-Jul,58822,93836,164060,49557,3138,2180,463,1773,40001,10832,25265,538,1617,55001,39669,4616,905,90184,6536,8966,42073,21576,2680,32669,756954
18-Aug,62367,101532,177188,53225,5009,2818,1084,1504,43784,11153,29499,527,1874,60903,42580,6061,905,92894,6708,9999,51242,22650,2591,34931,823026
18-Sep,64204,105652,187450,61336,11489,2838,1242,1832,47419,12235,32294,248,2186,66037,43262,7545,961,95579,7935,11587,53197,22801,2990,45466,887781
18-Oct,70064,114033,199681,63094,11913,3490,1242,5001,53297,17320,35744,248,2324,70579,47774,7565,961,100089,9184,11479,57391,23240,3163,50963,959837
18-Nov,77175,118557,199411,62774,13644,4560,1267,7203,56663,20052,46292,313,2545,79779,53192,8666,1109,110694,9757,12386,58845,23673,3602,56519,1028679
18-Dec,82409,124272,219585,69560,13670,5043,2130,7394,58021,20160,48554,389,5397,79602,57526,8946,1473,115894,10124,13310,58314,25681,5543,66120,1099117
19-Jan,86394,133787,229305,72797,14444,5354,2212,8470,59253,20723,59616,407,5342,81328,60812,9984,1472,123841,10032,13252,70033,28109,6237,76023,1179229
19-Feb,96245,132752,250633,75202,20180,5351,2369,10638,63262,20614,57004,1075,4770,83447,63462,11297,1676,130733,10560,13543,82335,25847,6771,79863,1249629
19-Mar,107180,137542,254154,81310,21756,6039,2433,14089,64992,20567,54162,1075,4772,85219,63743,12374,2217,137567,10135,14603,81901,27422,6982,81336,1293570
19-Apr,114462,145678,273086,82205,21755,7494,2433,16134,63189,21072,54907,1131,5164,90454,66771,13396,2411,141251,9952,16136,80630,30710,7255,90314,1357989
19-May,123322,151253,295355,81615,22657,7477,2434,16184,63769,21752,53903,1187,6964,107445,69790,15789,2519,142279,10591,17134,82566,32385,7856,100592,1436818
19-Jun,138360,151546,313790,87937,25367,9070,3307,16271,64293,21683,47484,1489,7441,108895,74532,15907,2165,148806,16171,17732,81120,36561,8535,107810,1506270
